;0
0;260.8142996901196
1;260.3987725220957
2;262.9560119920299
3;258.19960184161584
4;260.9805167271193
5;263.09389825337416
6;265.23753073340583
7;260.5471620179942
8;261.4411627297572
9;264.56521165418314
10;263.6327229904323
11;265.7519479040295
12;265.0626987964726
13;267.0120903175252
14;269.53168848857194
15;269.97608365144805
16;268.90333754838605
17;266.8950075974092
18;266.65149279958405
19;263.33549069771357
20;263.716326705654
21;265.84755009095005
22;266.2190616049339
23;264.6498140006436
24;264.99766877010785
25;263.28831319147645
26;262.676529354262
27;265.5854916242841
28;266.4890809120058
29;266.7192967806908
30;269.06580936576097
31;271.37826850339235
32;272.3953861557779
33;272.7447411369727
34;271.1011939960129
35;272.05219763112467
36;271.8260159645236
37;271.2715652104109
38;273.0845734529702
39;272.46569643496144
40;273.2455544518854
41;272.7395160250273
42;272.13454483185603
43;269.2340023726447
44;272.34629575004266
45;270.8463762241545
46;273.31072087580185
47;274.5054677039143
48;274.8341551850191
49;276.95628115797143
50;277.040376637321
51;277.8978649872124
52;278.27995725695763
53;278.6749953194539
54;277.8924377778537
55;278.5365553376186
56;277.03402088530345
57;276.49974031885756
58;275.464390410854
59;275.84438028637874
60;274.2040332889431
61;274.64269004878645
62;271.1886463680632
63;271.63899473313904
64;269.4884090310339
65;270.83355885406604
66;271.13139120153295
67;271.7119549452269
68;270.86835524431194
69;272.90337091055255
70;275.03637428484825
71;277.39067350758154
72;278.4906222212613
73;276.76848194652916
74;279.0150452096089
75;279.24898446932855
76;279.1608025571281
77;280.2097922180111
78;280.7845699169055
79;279.87417548614644
80;279.61336961462376
81;280.07662209711816
82;281.3833286219409
83;283.6162579297943
84;283.16294594251315
85;281.4629644649894
86;280.044546026027
87;281.20704972251053
88;280.7583511791404
89;282.17537913182906
90;283.29447317408955
91;284.3047009015366
92;285.25166152724665
93;285.2502556701638
94;284.9303384468678
95;283.0707951487445
96;282.02426693397985
97;283.65071768429044
98;281.6751683298272
99;283.773031606967
100;284.7291349517379
101;285.39772566451643
102;286.09110797906567
103;285.97262457743517
104;285.6393374378808
105;287.21613402430154
106;289.3196691063383
107;289.6224899548505
108;291.16030187934865
109;290.08861502003333
110;290.18140275986786
111;289.7033108579353
112;288.9107901403355
113;288.0574596135798
114;287.5041592936228
115;287.97335423976887
116;288.8798442184101
117;288.9741268286465
118;290.59148036426194
119;290.68685077504387
120;289.1729582376012
121;290.6338623329257
122;290.9966325680522
123;293.19475346086165
124;291.72549487413653
125;290.8690284273108
126;290.6111329727332
127;289.7282690843653
128;290.4676776484709
129;290.5191401963421
130;291.4871124610604
131;291.3517277152787
132;291.5297003505146
133;289.287085484957
134;287.726749731692
135;287.7101551137419
136;287.2585699643363
137;279.1465329290949
138;273.56280496812184
139;276.2317608136282
140;274.52904348327485
141;280.0147008939409
142;280.221802566163
143;276.99371657490906
144;276.6867820980269
145;275.27679725629713
146;273.9667781259326
147;266.78304138494684
148;270.42471827245265
149;265.901280093827
150;264.612071426734
151;267.6089805377896
152;270.10093000193945
153;272.98841236618154
154;271.9288091701876
155;273.30634412336366
156;274.7184504344286
157;279.98265771075944
158;279.9915984397657
159;278.03145796300214
160;273.4393460798143
161;272.4697632134387
162;270.41182485688796
163;272.7160605836285
164;273.33508839507607
165;269.56838778262005
166;265.1603860820225
167;265.3342706112118
168;263.4254843844545
169;267.12718320164436
170;268.0098837879156
171;273.67325269581517
172;273.539498447858
173;275.3802281990543
174;278.6047755803503
175;271.0888525996575
176;270.5678831660619
177;264.49448298527864
178;264.44513359036944
179;264.0288638356503
180;265.20725265503387
181;265.2304147024216
182;261.13636723953766
183;256.528882033567
184;255.58029780241543
185;251.9081427565493
186;248.2719318101129
187;242.34025228645757
188;236.31173902191895
189;245.57101414771017
190;247.19794468033976
191;247.88691625665413
192;249.95701308265686
193;250.18322206244633
194;245.24806704169757
195;251.929037102363
196;253.46920924502376
197;256.21565256354984
198;257.5815935771232
199;258.568618781391
200;258.7828686333639
201;257.4723198197058
202;259.93234826224153
203;260.520522701002
204;262.49444339548864
205;265.71757545663274
206;262.97311641641977
207;263.6419228741078
208;263.61083661812233
209;265.51371292711826
210;263.8180402026615
211;263.5551074814528
212;267.03597414776556
213;269.2157459765958
214;269.8065968177386
215;271.66073537137834
216;272.7070356815644
217;272.5521120485321
218;270.3166000095697
219;270.48944735024594
220;270.50478970444004
221;273.5540986800834
222;274.5255912621285
223;274.2693286162748
224;276.9235641279799
225;277.455809358375
