;0
0;-2.9116902653113925
1;-0.049069002503586034
2;-5.135618813438839
3;-1.0422744352124482
4;1.4370945828824802
5;3.0359899359243627
6;-4.1732833398367575
7;-1.8254420471093908
8;1.7597825560193314
9;0.23934004503274764
10;2.8186683763694305
11;-0.560022684298076
12;3.480131945896801
13;2.1346123402294666
14;2.345665345165571
15;-0.1782785874040087
16;-2.253888363732244
17;-0.7307081097253558
18;-4.320704447615981
19;-0.3779725010724633
20;2.377918406228048
21;1.2157308989254147
22;-1.3697226256632575
23;0.36363405567709606
24;-1.3028160199014565
25;-0.564890900881494
26;2.667835239616352
27;1.8860833889632431
28;-0.020964756038836185
29;1.6855784606398174
30;3.3374834844628367
31;2.03775861856883
32;0.6773312393603419
33;-2.158859422528849
34;2.359556186480688
35;0.5390733536840457
36;0.24370176193065163
37;3.4672493982948254
38;-1.9040121530152305
39;1.3803844579788347
40;-1.7983755061086981
41;0.1703930029007097
42;-2.0662957966630984
43;3.5238049768384485
44;-0.7828043968117413
45;3.9101557123523776
46;0.10263415791962416
47;-2.2355176072487097
48;0.06447018572004026
49;0.03447140642316526
50;0.8544787306419153
51;1.2244738478293584
52;1.5844897169700403
53;0.6944750685325403
54;1.3944872755637903
55;-0.20551882795183474
56;-0.7755261521706416
57;-1.8355237107643347
58;-1.3655224900612097
59;-3.0955334763893347
60;-2.51857902783064
61;-6.335523710764335
62;1.9101557123523776
63;-0.6523249096299537
64;1.8038342737134485
65;1.7415582245848213
66;2.130961140119382
67;0.5927878147234651
68;3.50450075489897
69;1.6932673999264694
70;0.5644701857200403
71;1.5644701857200403
72;-0.47553835920183474
73;2.0344714064231653
74;2.2544726271262903
75;2.0044726271262903
76;3.1344775099387903
77;3.7244738478293584
78;2.6644762892356653
79;2.3444689650169153
80;2.8644884962669153
81;4.274461640798165
82;6.674486054860665
83;6.00447262712629
84;4.08448971697004
85;2.6144884962669153
86;3.9944628615012903
87;3.5244616407981653
88;5.054490937673165
89;6.26448239275129
90;7.304490937673165
91;8.24446286150129
92;8.12446774431379
93;7.734483613454415
94;5.82447995134504
95;4.76448239275129
96;6.56447018572004
97;4.44447506853254
98;6.724473847829358
99;7.724473847829358
100;8.33448971697004
101;9.00447262712629
102;8.83448971697004
103;8.45448483415754
104;10.174486054860665
105;12.44447506853254
106;12.58448971697004
107;14.14448727556379
108;12.964464082204415
109;12.974473847829358
110;12.474473847829358
111;11.69447506853254
112;10.82447995134504
113;10.26448239275129
114;10.76448239275129
115;11.714464082204415
116;11.784471406423165
117;13.49446286150129
118;13.544481172048165
119;12.00447262712629
120;13.57447995134504
121;13.88447750993879
122;16.24446286150129
123;14.654466523610665
124;13.68446530290754
125;13.414476289235665
126;12.544481172048165
127;13.354478730641915
128;13.38447750993879
129;14.39448727556379
130;14.224473847829358
131;14.38447750993879
132;12.104478730641915
133;10.484483613454415
134;10.484483613454415
135;10.06447018572004
136;0.9644640822044153
137;-5.16551028302996
138;4.863727396696277
139;-2.851164019780242
140;3.0644701857200403
141;3.1144884962669153
142;-0.9355298142799597
143;-1.0855237107643347
144;-2.3255139451393347
145;-3.7255383592018347
146;-9.89137753744376
147;4.090124472142293
148;-3.5873599431843672
149;-1.2736811936021581
150;3.0530624788709133
151;2.6662443832369718
152;5.84973002929911
153;-2.743232617649028
154;2.989853992149392
155;0.6930703018208533
156;3.6744860548606653
157;3.1644762892356653
158;0.42448605486066526
159;-4.765516386545585
160;0.08039666501002785
161;-0.8862726033037234
162;3.850914839725931
163;0.4658656780608226
164;-6.912014485843088
165;-4.963478362825185
166;-0.004046750548070577
167;-2.084705338203321
168;4.316695458953745
169;0.618991162507541
170;7.232745452198515
171;-3.011645979859452
172;-0.8678286222843212
173;2.051536771415499
174;-7.085523710764335
175;0.5145950736095415
176;-5.532022807775661
177;-0.9064563395380674
178;-0.47596136439324255
179;2.224844416740268
180;1.2594399762870125
181;-3.6180523496566934
182;-8.291819208344663
183;-7.124473586037993
184;-9.342079821917253
185;-12.677467004269204
186;-18.379920937558552
187;-23.46934899421055
188;-10.478845426603755
189;-9.36287048740951
190;-9.284720157478205
191;-6.9462248238183975
192;-7.0964827013274885
193;-13.289013171823626
194;-4.541150238034618
195;-2.9596222693439813
196;-1.005209887080241
197;-0.36825555616013617
198;0.26460380784538984
199;-1.3814967098936108
200;-3.6113285331094858
201;-0.19124272695984246
202;-0.3933097024714698
203;1.1991117446750081
204;4.735904776196719
205;-1.9183431890239717
206;1.039153521958042
207;0.21116697543016016
208;3.306214112926739
209;-0.2849066554925912
210;0.6792848692631424
211;4.281055854902775
212;3.1319522961653092
213;2.7240811103500846
214;3.211272083491224
215;2.4682780562513926
216;-0.8985372179066076
217;-1.684323627668391
218;1.2847511805242107
219;1.3462754300802544
220;4.826286416408379
221;-1.8503937538001196
222;-2.868446138740751
223;0.12154409563424906
224;0.5144823927512903
225;1.0744799513450403
226;0.08448971697004026
227;1.8044909376731653
228;2.1844653029075403
229;1.9844836134544153
230;1.8644884962669153
231;1.3444689650169153
232;3.0844897169700403
233;2.0644701857200403
234;1.6844653029075403
235;-0.005537138498709737
236;-2.3255139451393347
237;-2.8755322556862097
238;1.1044787306419153
239;2.1544665236106653
240;4.00447262712629
241;3.8244799513450403
242;3.9744738478293584
243;4.99446286150129
244;5.06447018572004
245;4.214464082204415
246;7.39448727556379
247;1.9144762892356653
248;1.7044848341575403
249;3.7844714064231653
250;2.3144701857200403
251;3.3744677443137903
252;5.14448727556379
253;8.49446286150129
254;8.63447750993879
255;9.08448971697004
256;9.844468965016915
257;11.234483613454415
258;11.45448483415754
259;9.974473847829358
260;10.95448483415754
261;10.87446774431379
262;12.82447995134504
263;12.63447750993879
264;12.82447995134504
265;12.114488496266915
266;12.68446530290754
267;12.93446530290754
268;15.544481172048165
269;14.89448727556379
270;14.714464082204415
271;16.07447995134504
272;16.534471406423165
273;16.68446530290754
274;14.474473847829358
275;13.844468965016915
276;16.69447506853254
277;15.484483613454415
278;10.594468965016915
279;10.19447506853254
280;9.32447995134504
281;10.76448239275129
282;3.5244616407981653
283;6.06447018572004
284;7.724473847829358
285;10.364488496266915
286;8.50447262712629
287;6.614488496266915
288;9.174486054860665
289;8.294481172048165
290;4.804490937673165
291;5.44447506853254
292;2.8144701857200403
293;0.9344653029075403
294;1.6944750685325403
295;-2.0655346970924597
296;-2.7655163865455847
297;3.1944750685325403
298;5.62446774431379
299;7.464464082204415
300;10.31447018572004
301;11.63447750993879
302;11.56447018572004
303;11.054490937673165
304;12.24446286150129
305;11.924486054860665
306;12.034471406423165
307;15.06447018572004
308;15.724473847829358
309;18.524461640798165
310;16.664476289235665
311;16.304490937673165
312;13.424486054860665
313;13.13447750993879
314;14.164476289235665
315;15.664476289235665
316;18.32447995134504
317;19.094468965016915
318;21.464464082204415
319;21.12446774431379
320;19.484483613454415
321;19.854478730641915
322;21.274461640798165
323;21.97447384782936
324;23.31447018572004
325;23.414476289235665
326;22.44447506853254
327;20.404466523610665
328;21.49446286150129
329;19.83448971697004
330;20.56447018572004
331;22.69447506853254
332;24.104478730641915
333;22.664476289235665
334;24.674486054860665
335;24.12446774431379
336;23.38447750993879
337;20.094468965016915
338;17.50447262712629
339;15.284471406423165
